ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
14,"$125,000 to $149,999",2015,"2015",5528331,30159,"United States","01000US","united-states",0.07399513152429371
15,"$150,000 to $174,999",2015,"2015",6659967,36221,"United States","01000US","united-states",0.08914175618508656
16,"$175,000 to $199,999",2015,"2015",4584396,27035,"United States","01000US","united-states",0.0613608311404375
17,"$200,000 to $249,999",2015,"2015",7692487,42316,"United States","01000US","united-states",0.10296174149375635
18,"$250,000 to $299,999",2015,"2015",5945177,33560,"United States","01000US","united-states",0.07957449618161537
19,"$300,000 to $399,999",2015,"2015",7674805,38859,"United States","01000US","united-states",0.1027250729737975
20,"$400,000 to $499,999",2015,"2015",4148191,20530,"United States","01000US","united-states",0.055522351797114074
21,"$500,000 to $749,999",2015,"2015",4602188,21821,"United States","01000US","united-states",0.06159897197897995
22,"$750,000 to $999,999",2015,"2015",1700050,10155,"United States","01000US","united-states",0.022754683709762587
23,"$1,000,000 to $1,499,999",2015,"2015",910854,6270,"United States","01000US","united-states",0.012191520646905733
24,"$1,500,000 to $1,999,999",2015,"2015",313903,3613,"United States","01000US","united-states",0.004201502003203203
25,"$2,000,000 or More",2015,"2015",445742,3947,"United States","01000US","united-states",0.005966129364522805
0,"Less Than $10,000",2015,"2015",1953,286,"Austin, TX","16000US4805000","austin-tx",0.012409297124194635
1,"$10,000 to $14,999",2015,"2015",780,206,"Austin, TX","16000US4805000","austin-tx",0.0049560940895401
2,"$15,000 to $19,999",2015,"2015",902,257,"Austin, TX","16000US4805000","austin-tx",0.005731278036878423
3,"$20,000 to $24,999",2015,"2015",535,137,"Austin, TX","16000US4805000","austin-tx",0.0033993722280819916
4,"$25,000 to $29,999",2015,"2015",257,105,"Austin, TX","16000US4805000","austin-tx",0.0016329694628356482
5,"$30,000 to $34,999",2015,"2015",379,117.00000000000001,"Austin, TX","16000US4805000","austin-tx",0.0024081534101739717
6,"$35,000 to $39,999",2015,"2015",226,88,"Austin, TX","16000US4805000","austin-tx",0.0014359964926103366
7,"$40,000 to $49,999",2015,"2015",627,197,"Austin, TX","16000US4805000","austin-tx",0.003983937171976465
8,"$50,000 to $59,999",2015,"2015",966,196,"Austin, TX","16000US4805000","austin-tx",0.00613793191089197
9,"$60,000 to $69,999",2015,"2015",942,231,"Austin, TX","16000US4805000","austin-tx",0.00598543670813689
10,"$70,000 to $79,999",2015,"2015",1039,209,"Austin, TX","16000US4805000","austin-tx",0.0066017714859386714
11,"$80,000 to $89,999",2015,"2015",2471,340,"Austin, TX","16000US4805000","austin-tx",0.015700651916991777
12,"$90,000 to $99,999",2015,"2015",2213,309,"Austin, TX","16000US4805000","austin-tx",0.014061328487374668
13,"$100,000 to $124,999",2015,"2015",8564,587,"Austin, TX","16000US4805000","austin-tx",0.05441537151643771
14,"$125,000 to $149,999",2015,"2015",10518,705,"Austin, TX","16000US4805000","austin-tx",0.0668310226074138
15,"$150,000 to $174,999",2015,"2015",15120,818,"Austin, TX","16000US4805000","austin-tx",0.09607197773570039
16,"$175,000 to $199,999",2015,"2015",12341,704,"Austin, TX","16000US4805000","austin-tx",0.07841430405001842
17,"$200,000 to $249,999",2015,"2015",23093,1104,"Austin, TX","16000US4805000","austin-tx",0.14673215488429425
18,"$250,000 to $299,999",2015,"2015",17045,742,"Austin, TX","16000US4805000","austin-tx",0.10830336379001411
19,"$300,000 to $399,999",2015,"2015",22755,939,"Austin, TX","16000US4805000","austin-tx",0.14458451411216022
20,"$400,000 to $499,999",2015,"2015",13560,750,"Austin, TX","16000US4805000","austin-tx",0.0861597895566202
21,"$500,000 to $749,999",2015,"2015",13328,703,"Austin, TX","16000US4805000","austin-tx",0.08468566926332109
22,"$750,000 to $999,999",2015,"2015",4029,375,"Austin, TX","16000US4805000","austin-tx",0.025600132162509056
23,"$1,000,000 to $1,499,999",2015,"2015",2090,284,"Austin, TX","16000US4805000","austin-tx",0.013279790573254882
24,"$1,500,000 to $1,999,999",2015,"2015",564,145,"Austin, TX","16000US4805000","austin-tx",0.00358363726474438
25,"$2,000,000 or More",2015,"2015",1085,172,"Austin, TX","16000US4805000","austin-tx",0.006894053957885908
